T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,context.stopped,distractors.started,text_disctractors.started,text_disctractors.stopped,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,text_T1ask.started,key_resp_T1.started,blankT1_1.stopped,text_T1ask.stopped,blankT1_2.started,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,blankT2_1.stopped,text_T2ask.started,key_resp_T2.started,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,3,,,,,,,,,0,3,3,6,5.136697500012815,,,,,,,,,,,5.120932599995285,5.136697500012815,5.22044359985739,5.203882599947974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,3,,,,,,,,,0,4,4,8,5.22044359985739,,,,,,,,,,,5.204142999835312,5.22044359985739,5.303893100004643,5.287618099944666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,3,,,,,,,,,0,5,5,3,5.303893100004643,,,,,,,,,,,5.287878699833527,5.303893100004643,5.387035799911246,5.371247199829668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,3,,,,,,,,,0,6,6,5,5.387035799911246,,,,,,,,,,,5.37150919996202,5.387035799911246,5.470620600041002,5.4542868998833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,3,,,,,,,,,0,7,7,0,5.470620600041002,,,,,,,,,,,5.454548700014129,5.470620600041002,,5.537416199920699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,3,,,,,,,,,0,8,8,4,5.554160199826583,,,,,,,,,,,5.53768329997547,5.554160199826583,,5.620731699978933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,1,1,4,,,,,0,0,0,4,,,,,17.38246909994632,,,,,13.613329699961469,13.629187299869955,14.629826399963349,14.629826399963349,15.631119000026956,15.614690499845892,17.37108949990943,17.38246909994632,17.46566540002823,17.449434199836105,17.199236099841073,17.29900879994966,17.38246909994632,17.366228899918497,,,,,5.620814499910921,5.637505399994552,6.621897999895737,6.621897999895737,6.638581099919975,8.623766500037163,8.623766500037163,8.623766500037163,9.624936199979857,9.608529499964789,None,0,9.610848899930716,9.624936199979857,10.625942299840972,10.625942299840972,10.625942299840972,12.628411100013182,12.628411100013182,12.628411100013182,13.629187299869955,13.612926899921149,None,0,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,1,1,4,,,,,0,1,1,5,,,,,17.46566540002823,,,,,,,,,,,17.449683299986646,17.46566540002823,17.549204099923372,17.53310070000589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,1,1,4,,,,,0,2,2,2,,,,,17.549204099923372,,,,,,,,,,,17.533345599891618,17.549204099923372,17.632423399947584,17.616584699833766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,1,1,4,,,,,0,3,3,1,,,,,17.632423399947584,,,,,,,,,,,17.61684549995698,17.632423399947584,17.716033099917695,17.699731800006703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,1,1,4,,,,,0,4,4,0,,,,,17.716033099917695,,,,,,,,,,,17.700021999888122,17.716033099917695,17.799614500021562,17.783639000030234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
