52.4619 	EXP 	Created text_disctractors = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_disctractors', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
52.4620 	EXP 	window1: mouseVisible = True
52.4631 	EXP 	Created blankT1_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankT1_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
52.4632 	EXP 	window1: mouseVisible = True
52.4716 	EXP 	Created text_T1ask = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_T1ask', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='?\n\nOdd-F    Even-J', units='height', win=Window(...), wrapWidth=1)
52.4718 	EXP 	window1: mouseVisible = True
52.4730 	EXP 	Created blankT1_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankT1_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
52.4731 	EXP 	window1: mouseVisible = True
52.4747 	EXP 	Created blankT2_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankT2_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
52.4748 	EXP 	window1: mouseVisible = True
52.4795 	EXP 	Created text_T2ask = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_T2ask', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='?\n\nRelated-F    Unrelated-J', units='height', win=Window(...), wrapWidth=1)
52.4797 	EXP 	window1: mouseVisible = True
52.4809 	EXP 	Created blankT2_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankT2_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0288 	EXP 	text_insctructions: autoDraw = True
0.2180 	EXP 	Imported LuckList.csv as conditions, 9 conditions, 8 params
0.2183 	EXP 	Created sequence: random, trialTypes=9, nReps=1, seed=None
0.2185 	EXP 	New trial (rep=0, index=0): OrderedDict([('T0', 'XXBAGXX'), ('T2', 'XXSACKX'), ('T1', 3333333), ('lagT1', 9), ('lagT2', 3), ('lagEnd', 8), ('responseT1', 'j'), ('responseT2', 'f')])
0.2291 	EXP 	text_insctructions: autoDraw = False
0.2291 	EXP 	context_word: height = 0.05
0.2291 	EXP 	context_word: height = 0.05
0.2291 	EXP 	context_word: height = 0.05
0.2291 	EXP 	context_word: text = 'XXBAGXX'
0.2291 	EXP 	context_word: autoDraw = True
1.2138 	EXP 	blankContext: autoDraw = True
1.2301 	EXP 	context_word: autoDraw = False
2.2045 	EXP 	Imported distractors.csv as conditions, 500 conditions, 1 params
2.2065 	EXP 	Created sequence: random, trialTypes=500, nReps=9, seed=None
2.2067 	EXP 	New trial (rep=0, index=0): OrderedDict([('dist', 'YXBKHCS')])
2.2303 	EXP 	blankContext: autoDraw = False
2.2303 	EXP 	context_word: autoDraw = False
2.2303 	EXP 	blankContext: autoDraw = False
2.2303 	EXP 	text_disctractors: height = 0.05
2.2303 	EXP 	text_disctractors: height = 0.05
2.2303 	EXP 	text_disctractors: height = 0.05
2.2303 	EXP 	text_disctractors: text = 'YXBKHCS'
2.2303 	EXP 	text_disctractors: autoDraw = True
2.2980 	EXP 	New trial (rep=0, index=1): OrderedDict([('dist', 'TDVKMYJ')])
2.3144 	EXP 	text_disctractors: autoDraw = False
2.3144 	EXP 	text_disctractors: height = 0.05
2.3144 	EXP 	text_disctractors: height = 0.05
2.3144 	EXP 	text_disctractors: height = 0.05
2.3144 	EXP 	text_disctractors: text = 'TDVKMYJ'
2.3144 	EXP 	text_disctractors: autoDraw = True
2.3817 	EXP 	New trial (rep=0, index=2): OrderedDict([('dist', 'DBHLKFC')])
2.3980 	EXP 	text_disctractors: autoDraw = False
2.3980 	EXP 	text_disctractors: height = 0.05
2.3980 	EXP 	text_disctractors: height = 0.05
2.3980 	EXP 	text_disctractors: height = 0.05
2.3980 	EXP 	text_disctractors: text = 'DBHLKFC'
2.3980 	EXP 	text_disctractors: autoDraw = True
2.4654 	EXP 	New trial (rep=0, index=3): OrderedDict([('dist', 'NHPRJSG')])
2.4813 	EXP 	text_disctractors: autoDraw = False
2.4813 	EXP 	text_disctractors: height = 0.05
2.4813 	EXP 	text_disctractors: height = 0.05
2.4813 	EXP 	text_disctractors: height = 0.05
2.4813 	EXP 	text_disctractors: text = 'NHPRJSG'
2.4813 	EXP 	text_disctractors: autoDraw = True
2.5487 	EXP 	New trial (rep=0, index=4): OrderedDict([('dist', 'HDFVRLY')])
